Timestamp,Latitude,Longitude,Velocity,Altitude,X_Acc(g),Y_Acc(g),Z_Acc(g)
2024-12-10T20:55:42.292Z,0,0,0,-5,0.029561671763506624,-0.06523955147808358,-0.9378185524974515
2024-12-10T20:55:42.293Z,0,0,0,-5,0.024464831804281342,-0.06829765545361875,-0.9306829765545362
2024-12-10T20:55:42.295Z,0,0,0,-5,0.029561671763506624,-0.06829765545361875,-0.929663608562691
2024-12-10T20:55:42.296Z,0,0,0,-5,0.029561671763506624,-0.06829765545361875,-0.929663608562691
2024-12-10T20:55:42.297Z,0,0,0,-5,0.02854230377166157,-0.06422018348623854,-0.929663608562691
2024-12-10T20:55:42.298Z,0,0,0,-5,0.029561671763506624,-0.06523955147808358,-0.9378185524974515
2024-12-10T20:55:42.299Z,0,0,0,-5,0.029561671763506624,-0.06523955147808358,-0.9378185524974515
2024-12-10T20:55:42.289Z,0,0,0,-5,0.029561671763506624,-0.06523955147808358,-0.9378185524974515
2024-12-10T20:55:43.994Z,0,0,0,-5,0.0254841997961264,-0.06829765545361875,-0.9367991845056064
2024-12-10T20:55:44.051Z,0,0,0,-5,0.0254841997961264,-0.06829765545361875,-0.9367991845056064
2024-12-10T20:55:44.103Z,0,0,0,-5,0.0254841997961264,-0.06829765545361875,-0.9367991845056064
2024-12-10T20:55:44.161Z,0,0,0,-5,0.029561671763506624,-0.06320081549439348,-0.9388379204892967
2024-12-10T20:55:44.220Z,0,0,0,-5,0.024464831804281342,-0.06625891946992864,-0.9357798165137614
2024-12-10T20:55:44.272Z,0,0,0,-5,0.024464831804281342,-0.06625891946992864,-0.9357798165137614
2024-12-10T20:55:44.331Z,0,0,0,-5,0.024464831804281342,-0.06625891946992864,-0.9357798165137614
2024-12-10T20:55:44.383Z,0,0,0,-5,0.026503567787971458,-0.06931702344546381,-0.9418960244648318
2024-12-10T20:55:44.439Z,0,0,0,-5,0.02854230377166157,-0.06829765545361875,-0.9317023445463812
2024-12-10T20:55:44.496Z,0,0,0,-5,0.02854230377166157,-0.06829765545361875,-0.9317023445463812
2024-12-10T20:55:44.549Z,0,0,0,-5,0.0254841997961264,-0.06422018348623854,-0.9378185524974515
2024-12-10T20:55:44.606Z,0,0,0,-5,0.026503567787971458,-0.06931702344546381,-0.9408766564729868
2024-12-10T20:55:44.661Z,0,0,0,-5,0.026503567787971458,-0.06931702344546381,-0.9408766564729868
2024-12-10T20:55:44.717Z,0,0,0,-5,0.026503567787971458,-0.06931702344546381,-0.9408766564729868
2024-12-10T20:55:44.775Z,0,0,0,-5,0.03160040774719674,-0.06523955147808358,-0.9378185524974515
2024-12-10T20:55:44.829Z,0,0,0,-5,0.02854230377166157,-0.0672782874617737,-0.9327217125382263
2024-12-10T20:55:44.886Z,0,0,0,-5,0.02854230377166157,-0.0672782874617737,-0.9327217125382263
2024-12-10T20:55:44.941Z,0,0,0,-5,0.027522935779816515,-0.06829765545361875,-0.9337410805300713
2024-12-10T20:55:44.996Z,0,0,0,-5,0.026503567787971458,-0.06320081549439348,-0.9398572884811417
2024-12-10T20:55:45.054Z,0,0,0,-5,0.026503567787971458,-0.06320081549439348,-0.9398572884811417
2024-12-10T20:55:45.107Z,0,0,0,-5,0.026503567787971458,-0.06320081549439348,-0.9398572884811417
2024-12-10T20:55:45.165Z,0,0,0,-5,0.024464831804281342,-0.06829765545361875,-0.9327217125382263
2024-12-10T20:55:45.218Z,0,0,0,-5,0.027522935779816515,-0.061162079510703356,-0.9418960244648318
2024-12-10T20:55:45.276Z,0,0,0,-5,0.027522935779816515,-0.061162079510703356,-0.9418960244648318
2024-12-10T20:55:45.333Z,0,0,0,-5,0.027522935779816515,-0.061162079510703356,-0.9418960244648318
2024-12-10T20:55:45.386Z,0,0,0,-5,0.026503567787971458,-0.06829765545361875,-0.929663608562691
2024-12-10T20:55:45.443Z,0,0,0,-5,0.02854230377166157,-0.0672782874617737,-0.9337410805300713
2024-12-10T20:55:45.498Z,0,0,0,-5,0.02854230377166157,-0.0672782874617737,-0.9337410805300713
2024-12-10T20:55:45.553Z,0,0,0,-5,0.029561671763506624,-0.06625891946992864,-0.9306829765545362
2024-12-10T20:55:45.611Z,0,0,0,-5,0.027522935779816515,-0.06625891946992864,-0.9306829765545362
2024-12-10T20:55:45.665Z,0,0,0,-5,0.027522935779816515,-0.06625891946992864,-0.9306829765545362
2024-12-10T20:55:45.722Z,0,0,0,-5,0.027522935779816515,-0.06625891946992864,-0.9306829765545362
2024-12-10T20:55:45.777Z,0,0,0,-5,0.029561671763506624,-0.07033639143730885,-0.9327217125382263
2024-12-10T20:55:45.833Z,0,0,0,-5,0.026503567787971458,-0.06829765545361875,-0.9378185524974515
2024-12-10T20:55:45.890Z,0,0,0,-5,0.026503567787971458,-0.06829765545361875,-0.9378185524974515
2024-12-10T20:55:45.944Z,0,0,0,-5,0.027522935779816515,-0.06931702344546381,-0.9357798165137614
2024-12-10T20:55:46.001Z,0,0,0,-5,0.026503567787971458,-0.06523955147808358,-0.9418960244648318
2024-12-10T20:55:46.053Z,0,0,0,-5,0.026503567787971458,-0.06523955147808358,-0.9418960244648318
2024-12-10T20:55:46.112Z,0,0,0,-5,0.026503567787971458,-0.06523955147808358,-0.9418960244648318
2024-12-10T20:55:46.168Z,0,0,0,-5,0.026503567787971458,-0.06523955147808358,-0.9347604485219163
2024-12-10T20:55:46.222Z,0,0,0,-5,0.0254841997961264,-0.06829765545361875,-0.9337410805300713
2024-12-10T20:55:46.278Z,0,0,0,-5,0.0254841997961264,-0.06829765545361875,-0.9337410805300713
2024-12-10T20:55:46.336Z,0,0,0,-5,0.0254841997961264,-0.06829765545361875,-0.9337410805300713
2024-12-10T20:55:46.390Z,0,0,0,-5,0.02854230377166157,-0.06931702344546381,-0.9337410805300713
2024-12-10T20:55:46.447Z,0,0,0,-5,0.02854230377166157,-0.06931702344546381,-0.9317023445463812
2024-12-10T20:55:46.500Z,0,0,0,-5,0.02854230377166157,-0.06931702344546381,-0.9317023445463812
2024-12-10T20:55:46.559Z,0,0,0,-5,0.029561671763506624,-0.06625891946992864,-0.9337410805300713
2024-12-10T20:55:46.614Z,0,0,0,-5,0.0254841997961264,-0.06625891946992864,-0.927624872579001
2024-12-10T20:55:46.668Z,0,0,0,-5,0.0254841997961264,-0.06625891946992864,-0.927624872579001
2024-12-10T20:55:46.724Z,0,0,0,-5,0.0254841997961264,-0.06625891946992864,-0.927624872579001
2024-12-10T20:55:46.779Z,0,0,0,-5,0.027522935779816515,-0.06829765545361875,-0.9306829765545362
2024-12-10T20:55:46.838Z,0,0,0,-5,0.0254841997961264,-0.06422018348623854,-0.9357798165137614
2024-12-10T20:55:46.894Z,0,0,0,-5,0.0254841997961264,-0.06422018348623854,-0.9357798165137614
2024-12-10T20:55:46.948Z,0,0,0,-5,0.02854230377166157,-0.06625891946992864,-0.9347604485219163
2024-12-10T20:55:47.005Z,0,0,0,-5,0.02854230377166157,-0.06829765545361875,-0.9286442405708459
